Unnamed: 0,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 60,region
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,4169.72,4143.1,4027.71,4477.09,4486.62,4559.57,4865.43,4534.12,4713.81,5033.23,5369.63,5344.27,5242.02,5397.29,4960.85,5082.21,5416.84,5853.02,6140.8,6287.08,6540.19,6480.69,6160.43,6729.6,7439.13,7549.77,8007.8,8107.05,8405.88,8572.79,8963.83,8835.1,,Europe and Central Asia
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.95,,,,,,,,,,Europe and Central Asia
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369.76,1238.75,1120.83,829.39,759.65,752.65,688.88,693.36,711.31,703.31,727.4,801.24,880.32,982.06,1108.89,1332.36,1547.45,1821.51,2066.65,1765.75,1890.93,2193.28,2377.26,2546.98,2476.33,1997.93,2059.73,2261.4,2472.36,,Europe and Central Asia
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932.11,1029.73,1124.27,1218.97,1326.69,1458.43,1567.9,1601.46,1642.57,,Europe and Central Asia
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4850.7,5080.37,4798.62,5004.12,5390.45,5514.97,5344.93,5251.56,4896.28,4148.27,4439.29,4809.98,5112.3,5615.11,6078.48,6454.46,6045.34,6671.33,7212.7,7210.34,7389.56,6990.23,7168.12,7037.39,7242.37,6998.94,,Latin America and the Caribbean
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9598.05,,,,,,,,,,Latin America and the Caribbean
Belize,,,,,,,,,,,,,,,,,,,,,1819.95,1407.87,1554.99,1395.94,1155.83,1055.5,949.94,1099.86,1256.5,1371.21,1440.13,1565.47,2702.31,2696.3,2789.62,2844.82,2798.61,2760.4,2836.1,2970.61,3103.71,3301.51,3424.6,3458.36,3361.81,3209.03,3049.7,3070.41,2935.4,2981.82,3005.08,3070.89,3037.65,3117.76,3072.0,3150.56,3251.63,3051.88,2905.14,,Latin America and the Caribbean
Bolivia,694.54,730.66,717.59,743.01,734.25,771.45,813.13,844.74,851.69,888.28,926.56,939.15,928.07,983.09,992.19,1010.44,1065.58,1095.96,1041.97,1028.28,1025.23,1008.29,948.37,886.83,868.89,885.13,910.07,918.89,907.7,904.54,915.51,926.16,939.07,950.13,957.84,965.95,977.37,1009.9,1042.03,1050.03,1053.65,1046.88,1048.42,1048.62,1059.71,1075.63,1099.98,1126.31,1168.14,1191.04,1218.22,1260.99,1298.12,1353.58,1405.07,1455.94,1483.28,1531.1,1574.41,,Latin America and the Caribbean
Brazil,1935.0,2053.09,2121.0,2045.82,2055.6,2019.12,2047.62,2168.32,2359.69,2203.17,2542.77,2802.97,3051.83,3252.91,3558.32,3291.63,3776.63,4111.99,4091.95,4417.0,4698.99,4482.44,4520.79,4644.85,4972.54,4806.21,4747.94,4471.54,4444.56,4192.86,4237.8,4508.52,4403.58,4527.43,4785.59,5115.18,5188.81,5263.23,5146.05,5089.57,5219.95,5188.79,5188.66,5095.85,5232.55,5401.68,5625.47,5922.38,6242.84,6458.62,6796.89,7059.43,7241.48,7427.67,7530.09,7227.0,6889.36,6926.75,7003.01,,Latin America and the Caribbean
Chile,2261.45,2342.08,2387.97,2438.7,2376.76,2330.14,2546.86,2588.07,2642.46,2736.34,2676.47,2980.06,3158.88,2904.65,2336.8,2037.94,2011.84,2298.48,2434.42,2554.24,2691.71,3009.24,2529.99,2352.11,2333.53,2276.87,2357.14,2488.12,2620.56,2839.79,2854.84,3057.26,3421.92,3616.76,3851.33,4166.31,4494.71,4771.72,4939.64,4830.83,4971.8,5016.89,5069.31,5243.26,5618.72,5988.94,6368.05,6746.1,6951.41,6818.85,7470.26,8002.6,8405.47,8704.49,8842.67,8924.68,9039.92,9176.64,9414.77,,Latin America and the Caribbean
Colombia,1729.74,1791.33,1871.09,1902.09,2026.43,1924.95,2002.37,1987.37,2062.03,2159.25,2238.37,2352.0,2432.0,2493.7,2586.44,2604.64,2724.87,2772.22,2938.58,2997.77,3061.7,3082.62,3060.8,3009.04,3030.09,3023.04,3057.43,3109.47,3162.16,3200.45,3232.75,3219.76,3253.45,3386.13,3519.72,3643.82,3616.78,3640.26,3550.6,3304.3,3316.67,3315.64,3330.71,3378.42,3459.57,3551.81,3730.49,3949.42,4062.25,4055.11,4219.23,4453.87,4647.55,4789.19,4960.34,5054.39,5065.07,5092.54,5195.92,,Latin America and the Caribbean
Costa Rica,2231.21,2528.29,2457.01,2547.7,2587.26,2983.89,2894.12,2954.72,3043.64,3089.78,3302.32,3254.12,3320.2,3373.67,3458.82,3446.25,3498.84,3873.36,4087.09,4074.31,3894.06,3466.61,3049.68,3133.91,3271.24,3321.59,3404.57,3440.22,3423.88,3506.95,3558.11,3433.28,3665.72,3908.73,4005.13,3990.67,3966.28,4060.54,4149.31,4120.35,4077.95,4101.44,4196.42,4296.59,4342.37,4486.74,4650.33,4938.02,5157.53,5139.96,5324.7,5588.47,5862.18,5964.68,6143.19,6357.62,6539.87,6653.6,6715.87,,Latin America and the Caribbean
Cuba,,,,,,,,,,,1367.87,1459.07,1502.82,1528.63,1520.62,1641.99,1710.55,1842.67,1950.06,1960.34,1847.08,2195.8,2395.65,2521.27,2717.3,2662.62,2665.72,2690.36,2722.6,2737.56,2534.89,2259.02,1844.98,1628.04,1712.46,1729.7,1789.09,1822.06,1848.05,1934.48,1967.51,2035.71,2072.61,2195.33,2224.94,2231.13,2648.66,2691.26,2647.07,2673.25,2883.44,2921.0,3010.59,3158.76,3296.5,3533.32,3676.29,3736.57,3820.78,,Latin America and the Caribbean
Dominican Republic,1014.75,985.38,1158.32,1225.74,1280.67,1056.25,1221.01,1233.51,1212.54,1262.75,1443.87,1469.77,1493.84,1608.19,1675.34,1738.92,1786.98,1843.02,1796.47,1713.59,2010.82,1966.71,2006.49,2017.23,2022.08,1946.42,1988.38,2184.44,2305.21,2378.94,2121.64,2142.06,2378.1,2432.79,2389.73,2491.43,2537.47,2695.07,2734.37,2850.18,2901.01,2902.0,2966.94,2848.5,2885.49,3205.21,3449.96,3603.13,3751.34,3912.13,4129.95,4256.97,4286.42,4330.55,4507.9,4743.68,4973.85,5133.25,5366.58,,Latin America and the Caribbean
Ecuador,1327.28,1358.46,1409.83,1409.69,1487.22,1481.22,1448.68,1453.62,1478.8,1514.43,1598.2,1633.26,1554.6,1585.01,1784.6,1980.4,2068.21,2088.17,2080.11,2186.49,2297.43,2404.05,2417.58,2269.44,2253.45,2286.74,2236.51,2321.67,2203.1,2154.1,2232.91,2269.62,2240.89,2260.09,2309.36,2349.55,2328.85,2416.36,2530.4,2178.27,2154.4,2273.68,2392.19,2422.3,2535.2,2603.52,2671.7,2738.71,2839.16,2765.64,2931.97,3035.27,3076.02,3148.97,3185.5,3131.49,3004.29,3061.65,3087.87,,Latin America and the Caribbean
El Salvador,,,,,,1924.44,2029.0,2065.46,2021.89,1997.65,2061.74,2070.61,2106.48,2200.32,2189.45,2152.41,2338.77,2578.03,2557.26,2256.15,1969.28,1727.24,1544.96,1542.5,1564.93,1576.23,1544.83,1532.05,1533.02,1542.0,1932.34,1917.77,2032.91,2122.51,2224.2,2334.83,2346.5,2354.43,2316.21,2356.38,2391.87,2407.75,2411.58,2417.57,2443.69,2524.29,2632.08,2805.19,2780.75,2583.79,2603.19,2632.35,2705.48,2786.6,2769.24,2838.24,2879.72,2927.32,2992.0,,Latin America and the Caribbean
Guatemala,1309.36,1327.56,1363.11,1410.38,1440.29,1440.32,1447.6,1475.61,1497.95,1536.84,1580.15,1624.95,1684.2,1731.78,1748.9,1754.06,1824.73,1922.2,1969.35,2003.53,2020.9,1998.05,1890.35,1818.06,1793.85,1744.77,1717.86,1743.38,1773.11,1784.42,1778.75,1813.72,1855.1,1890.07,1936.14,1991.45,2001.41,2035.4,2081.41,2107.5,2132.04,2161.76,2182.59,2213.95,2245.96,2288.56,2341.92,2413.51,2463.44,2403.01,2432.46,2467.32,2491.17,2529.57,2574.31,2668.62,2724.91,2766.75,2830.82,,Latin America and the Caribbean
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2651.96,2885.54,3013.43,3246.75,2976.37,2889.55,2350.62,2616.76,2250.04,,Latin America and the Caribbean
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.5,739.51,679.93,685.86,688.45,675.01,671.59,661.95,661.11,,Latin America and the Caribbean
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206.12,1227.75,1246.38,1268.83,1299.7,1346.93,1430.36,1483.35,1494.73,1464.62,1487.63,1511.54,1546.96,1576.45,1588.38,1621.86,1658.0,1706.6,1751.98,,Latin America and the Caribbean
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320.26,4432.16,3922.29,3853.71,3979.18,3917.57,3867.6,3813.13,3788.39,3762.87,3787.94,3802.49,,Latin America and the Caribbean
Mexico,2051.63,2064.05,2088.82,2157.79,2317.95,3133.49,3186.25,3294.28,3410.11,3521.37,3647.59,3694.47,3837.99,3985.33,4026.67,4105.27,4144.79,4149.08,4325.76,4593.75,4944.72,5183.35,4937.73,4567.04,4611.61,4661.31,4446.29,4350.59,4342.36,4548.01,4734.12,4874.45,4974.03,4896.58,5068.64,4692.28,4826.85,5107.69,5353.47,5529.99,5839.37,5902.28,5920.4,5970.42,6339.69,6504.28,6410.25,6474.18,6423.26,5933.46,6058.8,6175.66,6235.04,6261.63,6311.96,6403.39,6563.87,6695.6,6773.27,,Latin America and the Caribbean
Nicaragua,1167.58,1223.67,1325.99,1413.83,1495.7,1593.95,1590.63,1711.35,1653.14,1629.11,1594.35,1577.93,1553.72,1602.35,1668.82,1701.72,1726.49,1804.23,1645.17,1163.71,1331.28,1110.79,941.35,864.81,800.0,717.55,643.13,611.12,858.76,792.97,657.69,865.16,902.15,856.36,857.74,871.07,892.84,927.9,960.66,977.43,1018.07,1051.57,1081.95,1084.78,1090.72,1112.46,1128.61,1166.26,1187.37,1191.04,1210.51,1225.58,1258.6,1289.56,1326.62,1378.18,1438.06,1502.11,1412.21,,Latin America and the Caribbean
Panama,1226.07,1277.22,1301.94,1405.67,1456.45,1539.63,1513.2,1587.39,1579.38,1733.08,1760.71,1825.3,1776.17,1774.96,1916.11,1815.73,1774.41,1851.43,2011.86,2085.23,2173.16,2517.08,2201.98,2346.7,2648.14,2831.83,2868.83,2736.05,2453.34,2990.16,2557.57,2957.69,3123.03,3189.09,3043.16,2827.76,2810.54,2987.99,3470.44,3416.94,3345.84,3384.59,3550.77,3788.85,3879.86,4143.74,4267.84,4206.52,4341.29,4415.61,4636.22,4813.34,4913.25,5198.27,5490.96,5549.66,5802.54,5881.97,,,Latin America and the Caribbean
Paraguay,,,1199.05,1230.98,1235.37,1226.97,1174.3,1252.37,1262.29,1271.09,1308.43,1353.2,1380.85,1381.86,1497.21,1600.61,1630.01,1792.66,1854.04,1828.43,2044.89,2173.08,2234.42,2151.29,2183.92,2172.41,2156.22,2241.29,2234.3,2156.16,2336.61,2310.55,2327.04,2347.91,2427.2,2449.76,2406.17,2422.59,2359.03,2277.55,2198.78,2274.85,2169.83,2297.43,2364.6,2347.92,2405.0,2489.22,2639.96,2614.57,2809.49,2906.4,2958.17,3056.82,3183.44,3251.45,3322.74,3428.76,3515.37,,Latin America and the Caribbean
