Country	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	
East Asia and Pacific
Hungary	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4,942.30	5,031.84	5,258.05	5,289.17	4,908.21	4,796.53	4,903.94	5,152.96	5,511.43	5,697.13	5,969.34	6,458.29	7,022.66	7,179.88	7,399.94	7,526.30	7,616.31	7,532.56	7,037.29	6,966.66	7,045.84	6,922.83	6,931.31	7,117.08	7,403.70	7,776.99	8,191.14	8,618.79	9,015.00
Kazakhstan	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3,410.53	3,235.03	3,200.80	2,919.41	2,264.53	1,833.04	1,765.48	1,850.95	1,870.20	1,897.16	1,927.16	2,085.87	2,140.00	2,384.17	2,695.67	2,957.36	3,293.76	3,608.49	3,827.89	3,745.49	4,116.23	4,541.87	4,929.54	5,376.07	5,367.83	5,386.20	5,375.68	5,384.82	5,637.48	5,887.03
Kosovo	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2,272.82	2,525.50	2,719.32	2,760.00	2,832.77	2,908.54	3,061.25	3,231.14	3,553.26	3,842.69	4,121.94	4,075.23	4,256.47	4,350.59
Kyrgyz Republic	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	949.48	832.87	745.61	618.93	449.89	463.37	411.95	475.49	472.33	443.48	449.22	466.03	569.13	603.98	646.74	762.59	775.68	867.03	733.50	744.47	804.18	879.21	930.62	939.29	911.61	887.59	925.35	952.64	947.67
Latvia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3,365.46	3,592.57	3,822.81	3,897.34	4,062.78	4,190.35	4,463.23	4,787.75	5,221.70	5,790.43	6,467.46	7,749.40	8,684.34	8,042.20	6,891.80	7,187.66	7,545.89	7,964.83	8,499.11	8,632.06	8,897.38	9,193.62	9,555.73	9,885.22	10,176.80
Lithuania	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3,197.61	3,425.80	3,645.89	3,847.32	4,066.66	4,376.87	4,596.58	4,912.40	5,515.24	6,183.61	7,011.68	7,774.67	8,849.01	9,287.03	7,757.53	7,677.86	8,192.28	8,559.13	9,018.81	9,432.80	9,908.05	10,444.60	10,966.80	11,480.80	11,933.00
Moldova	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	732.29	873.11	960.00	1,008.37	924.48	1,120.26	1,191.35	1,268.62	1,508.31	1,606.52	1,830.18	1,978.79	2,054.42	2,178.48	2,006.26	2,198.97	2,403.11	2,425.63	2,581.36	2,724.37	2,679.33	2,789.39	2,986.91	3,158.75	3,319.15
Montenegro	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5,071.38	5,661.81	6,282.22	5,375.66	5,472.93	5,492.50	5,273.58	5,352.12	5,499.80	5,619.04	5,918.94	6,151.17	6,435.05	6,633.08
North Macedonia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2,122.68	1,959.99	1,762.70	1,928.45	2,104.68	2,216.95	2,236.25	2,256.93	2,323.67	2,409.70	2,501.11	2,239.64	2,454.91	2,559.56	2,746.48	2,938.89	3,044.04	3,272.12	3,425.65	3,309.68	3,431.83	3,245.16	3,281.24	3,339.42	3,409.64	3,558.04	3,693.53	3,717.02	n/a	n/a
Poland	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4,017.07	4,365.73	4,682.52	4,912.73	5,185.57	5,391.84	5,502.28	5,717.94	5,800.87	6,055.92	6,168.61	6,464.40	6,833.17	7,288.49	7,534.41	7,755.69	7,971.49	8,007.11	8,031.54	8,237.08	8,550.01	8,892.12	9,309.60	9,729.70	10,110.80
Romania	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2,256.34	2,007.68	1,912.74	1,939.16	2,015.58	2,257.01	2,434.56	2,329.48	2,473.82	2,373.76	2,413.57	2,651.52	2,892.12	3,157.17	3,678.17	4,116.40	4,563.51	5,272.48	5,827.62	5,503.16	5,259.81	5,341.85	5,468.48	5,512.02	5,760.98	6,132.46	6,661.41	7,421.17	8,037.47	8,528.57
Russian Federation	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2,237.35	2,349.00	2,275.64	2,217.55	2,385.44	2,617.70	2,847.63	3,075.19	3,455.88	3,871.95	4,350.97	4,975.42	5,498.57	5,214.99	5,496.33	5,859.66	6,290.03	6,595.87	6,613.31	5,976.75	5,814.43	6,022.81	6,221.76	6,383.37
Serbia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2,525.31	2,591.84	2,705.46	2,791.67	2,538.53	2,675.96	2,721.48	2,974.69	3,061.19	3,458.20	3,550.56	3,940.04	4,260.13	4,470.46	4,338.16	4,329.16	4,425.18	4,371.26	4,318.26	4,334.30	4,328.05	4,433.04	4,555.14	4,722.78	4,917.26
Slovak Republic	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4,896.12	4,925.13	5,175.68	5,567.73	5,765.92	6,043.81	5,998.26	6,158.08	6,496.32	6,866.48	6,932.34	7,437.78	7,772.75	8,263.39	8,910.93	9,527.99	9,498.79	9,566.60	9,371.16	9,392.77	9,271.93	9,436.84	9,688.45	10,052.00	10,484.10	10,894.10	11,130.80
Slovenia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8,076.24	7,187.00	6,935.49	7,918.11	8,246.17	8,994.31	9,247.63	9,524.16	9,822.42	10,464.90	10,420.70	10,701.50	10,943.90	11,320.50	11,600.20	11,819.40	11,933.80	12,640.80	12,982.90	13,132.90	13,203.10	13,280.20	12,962.10	12,435.00	12,624.50	12,870.90	13,433.60	13,673.80	14,120.90	14,696.60
Tajikistan	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	704.75	439.33	521.07	362.46	476.02	537.26	480.38	568.82	585.92	627.71	659.22	689.02	717.10	743.48	768.12	791.01	812.15	831.55	849.31	865.51	880.16	n/a	n/a	n/a	n/a	n/a	n/a
Turkey	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4,169.57	4,142.95	4,027.57	4,476.93	4,486.46	4,559.41	4,865.25	4,533.96	4,713.64	5,033.05	5,369.44	5,341.27	5,239.24	5,394.42	4,958.48	5,079.90	5,414.42	5,850.51	6,138.11	6,284.30	6,537.41	6,477.93	6,162.07	6,733.26	7,440.49	7,549.69	7,982.35	8,092.99	8,381.45	8,557.70	8,921.72	8,835.95	8,854.05
